"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 27 18:26:22 CST 2024","Thu Jun 27 18:26:22 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","查看播放列表",""
"passed","Thu Jun 27 18:08:33 CST 2024","Thu Jun 27 18:08:35 CST 2024","1769","test_case","test_release_management","TestReleaseStrategy","","","从选设备，跳转到‘节目编排’",""
"passed","Thu Jun 27 18:17:59 CST 2024","Thu Jun 27 18:18:02 CST 2024","2705","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-切换到选择策略弹框上",""
"broken","Thu Jun 27 18:08:04 CST 2024","Thu Jun 27 18:08:04 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","节目单预览",""
"passed","Thu Jun 27 18:14:43 CST 2024","Thu Jun 27 18:15:34 CST 2024","51041","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-过滤分辨率",""
"passed","Thu Jun 27 18:11:35 CST 2024","Thu Jun 27 18:12:22 CST 2024","47808","test_case","test_program_management","TestProgramManagement","","","引用节目",""
"passed","Thu Jun 27 18:08:22 CST 2024","Thu Jun 27 18:10:02 CST 2024","100557","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
"passed","Thu Jun 27 18:09:42 CST 2024","Thu Jun 27 18:09:50 CST 2024","8286","test_case","test_media_center","TestMediaCenter","","","切换图片、视频、音频tab",""
"broken","Thu Jun 27 18:09:30 CST 2024","Thu Jun 27 18:09:30 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","取消删除节目单",""
"passed","Thu Jun 27 18:08:37 CST 2024","Thu Jun 27 18:08:39 CST 2024","2667","test_case","test_release_management","TestReleaseStrategy","","","折叠所有的机构",""
"passed","Thu Jun 27 18:08:35 CST 2024","Thu Jun 27 18:08:37 CST 2024","1584","test_case","test_release_management","TestReleaseStrategy","","","展开所有的机构",""
"passed","Thu Jun 27 18:09:39 CST 2024","Thu Jun 27 18:09:41 CST 2024","1430","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向下减少个数分功能",""
"passed","Thu Jun 27 18:18:02 CST 2024","Thu Jun 27 18:18:04 CST 2024","2579","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-进行标签的折叠",""
"passed","Thu Jun 27 18:10:44 CST 2024","Thu Jun 27 18:10:58 CST 2024","13729","test_case","test_media_center","TestMediaCenter","","","取消编辑素材",""
"passed","Thu Jun 27 18:09:18 CST 2024","Thu Jun 27 18:09:40 CST 2024","22695","test_case","test_media_center","TestMediaCenter","","","上传指定文件夹下的所有文件",""
"broken","Thu Jun 27 18:09:31 CST 2024","Thu Jun 27 18:09:31 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","将引用的节目单进行暂存操作",""
"passed","Thu Jun 27 18:18:07 CST 2024","Thu Jun 27 18:18:14 CST 2024","6159","test_case","test_release_management","TestReleaseStrategy","","","删除第一个标签",""
"broken","Thu Jun 27 18:35:39 CST 2024","Thu Jun 27 18:38:33 CST 2024","173207","test_case","test_terminal_center","TestTerminalCenter","","","插播字幕，输入随机内容",""
"passed","Thu Jun 27 18:08:43 CST 2024","Thu Jun 27 18:08:54 CST 2024","10308","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Thu Jun 27 18:12:27 CST 2024","Thu Jun 27 18:12:41 CST 2024","14071","test_case","test_media_center","TestMediaCenter","","","关闭批量删除弹框",""
"broken","Thu Jun 27 18:11:14 CST 2024","Thu Jun 27 18:11:28 CST 2024","13488","test_case","test_media_center","TestMediaCenter","","","取消删除单个素材",""
"broken","Thu Jun 27 18:38:36 CST 2024","Thu Jun 27 18:41:29 CST 2024","172507","test_case","test_terminal_center","TestTerminalCenter","","","下发关机指令",""
