"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目hkc","terminal_center","","0","18","3","2","0"
"项目hkc","release management","","0","16","27","3","0"
"项目hkc","program management","","0","6","13","1","0"
"项目hkc","media center","","0","13","5","0","0"
"项目hkc","login-test","","0","0","7","1","0"
"项目hkc","play bill list","","0","14","2","0","0"
"项目hkc","system management","","0","3","6","0","0"
"项目hkc","login","","0","0","0","7","0"
