"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 14 09:37:56 CST 2024","Tue May 14 09:37:56 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中重新选择机构",""
"broken","Tue May 14 09:56:19 CST 2024","Tue May 14 09:58:03 CST 2024","103765","test_case","test_terminal_center","TestTerminalCenter","","","批量操作：停止、播放",""
"broken","Tue May 14 09:47:21 CST 2024","Tue May 14 09:47:22 CST 2024","1073","test_case","test_media_center","TestMediaCenter","","","预览素材",""
"broken","Tue May 14 10:13:55 CST 2024","Tue May 14 10:13:58 CST 2024","2688","test_case","test_terminal_center","TestTerminalCenter","","","查看设备中心-组织架构树，取消选择和全选所有门店",""
"passed","Tue May 14 09:34:22 CST 2024","Tue May 14 09:34:27 CST 2024","4229","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"broken","Tue May 14 10:14:01 CST 2024","Tue May 14 10:14:01 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤已发布节目单",""
"broken","Tue May 14 10:20:35 CST 2024","Tue May 14 10:21:22 CST 2024","47063","test_case","test_program_management","TestProgramManagement","","","重命名节目",""
"passed","Tue May 14 09:34:05 CST 2024","Tue May 14 09:34:10 CST 2024","4177","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"broken","Tue May 14 09:58:07 CST 2024","Tue May 14 09:58:07 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤审批中节目单",""
"passed","Tue May 14 09:47:48 CST 2024","Tue May 14 09:47:55 CST 2024","6603","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向下减少个数分功能",""
"passed","Tue May 14 09:32:54 CST 2024","Tue May 14 09:32:57 CST 2024","3387","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"passed","Tue May 14 10:40:25 CST 2024","Tue May 14 10:41:12 CST 2024","47000","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-预览所有",""
"passed","Tue May 14 09:35:07 CST 2024","Tue May 14 09:36:20 CST 2024","73094","test_case","test_terminal_center","TestTerminalCenter","","","在设备中心，点击更多按钮",""
"passed","Tue May 14 09:42:31 CST 2024","Tue May 14 09:42:35 CST 2024","3762","test_case","test_system_management","TestSystemManagement","","","删除机构-确定删除",""
"skipped","Tue May 14 10:43:09 CST 2024","Tue May 14 10:43:09 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Tue May 14 09:47:43 CST 2024","Tue May 14 09:47:46 CST 2024","3640","test_case","test_play_bill","TestPlayBill","","","成功失效节目单",""
"passed","Tue May 14 10:42:42 CST 2024","Tue May 14 10:43:08 CST 2024","25636","test_case","test_system_management","TestSystemManagement","","","筛选操作日志：昨天、今天",""
"skipped","Tue May 14 10:43:09 CST 2024","Tue May 14 10:43:09 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Tue May 14 09:37:34 CST 2024","Tue May 14 09:37:50 CST 2024","16089","test_case","test_system_management","TestSystemManagement","","","添加门店",""
"passed","Tue May 14 10:32:05 CST 2024","Tue May 14 10:32:13 CST 2024","7637","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Tue May 14 10:31:42 CST 2024","Tue May 14 10:31:50 CST 2024","7745","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"broken","Tue May 14 09:51:07 CST 2024","Tue May 14 09:51:08 CST 2024","1006","test_case","test_media_center","TestMediaCenter","","","重命名文件名称",""
"broken","Tue May 14 09:41:29 CST 2024","Tue May 14 09:41:54 CST 2024","24469","test_case","test_play_bill","TestPlayBill","","","进行节目单的编辑",""
"skipped","Tue May 14 10:10:55 CST 2024","Tue May 14 10:10:55 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","同时删除3个节目",""
"passed","Tue May 14 10:10:55 CST 2024","Tue May 14 10:10:58 CST 2024","3607","test_case","test_release_management","TestReleaseStrategy","","","清空设备",""
"broken","Tue May 14 10:02:36 CST 2024","Tue May 14 10:02:36 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤返回修改节目单",""
"passed","Tue May 14 10:42:24 CST 2024","Tue May 14 10:42:28 CST 2024","4389","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-切换到选择策略弹框上",""
"skipped","Tue May 14 10:00:46 CST 2024","Tue May 14 10:00:46 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","清空搜索",""
"broken","Tue May 14 10:17:22 CST 2024","Tue May 14 10:18:09 CST 2024","46777","test_case","test_program_management","TestProgramManagement","","","引用节目",""
"passed","Tue May 14 09:34:52 CST 2024","Tue May 14 09:34:54 CST 2024","2694","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择不静音播放",""
"broken","Tue May 14 10:34:53 CST 2024","Tue May 14 10:36:52 CST 2024","119052","test_case","test_terminal_center","TestTerminalCenter","","","取消删除设备",""
