"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 16:53:41 CST 2024","Tue May 07 16:53:43 CST 2024","2689","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择发布策略： 覆盖",""
"passed","Tue May 07 16:53:39 CST 2024","Tue May 07 16:53:41 CST 2024","2134","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 低",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","保存为标签",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-进行标签的折叠",""
"broken","Tue May 07 16:53:49 CST 2024","Tue May 07 16:53:50 CST 2024","653","test_case","test_release_management","TestReleaseManagemen_2","","","通过设备id，来搜索设备",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-删除单个节目",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-重置筛选条件",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","4","test_case","test_release_management","TestReleaseManagemen_2","","","切换交并集",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选横屏节目",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","218","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选简单节目",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置时间段1，随机时间播放",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","4","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"passed","Tue May 07 16:53:47 CST 2024","Tue May 07 16:53:49 CST 2024","1621","test_case","test_release_management","TestReleaseStrategy","","","发布策略，关闭发布",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","在节目编排中，选择节目",""
"skipped","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","清空搜索",""
"passed","Tue May 07 16:53:46 CST 2024","Tue May 07 16:53:47 CST 2024","1656","test_case","test_release_management","TestReleaseStrategy","","","发布策略，取消发布",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-过滤分辨率",""
"broken","Tue May 07 16:53:51 CST 2024","Tue May 07 16:53:51 CST 2024","4","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-预览仅一个节目",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","4","test_case","test_release_management","TestReleaseManagemen_2","","","全选设备",""
"passed","Tue May 07 16:53:30 CST 2024","Tue May 07 16:53:34 CST 2024","3357","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","在选设备抽屉，切换到‘设备分组’tab上",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","4","test_case","test_release_management","TestReleaseManagemen_2","","","通过设备名称，来搜索设备",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"passed","Tue May 07 16:53:34 CST 2024","Tue May 07 16:53:37 CST 2024","2707","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择不静音播放",""
"skipped","Tue May 07 16:53:49 CST 2024","Tue May 07 16:53:49 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","发布管理：选择一个设备",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","展开所有的机构",""
"passed","Tue May 07 16:53:37 CST 2024","Tue May 07 16:53:39 CST 2024","2138","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 高",""
"broken","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","折叠所有的机构",""
"skipped","Tue May 07 16:53:50 CST 2024","Tue May 07 16:53:50 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置时间段1，固定时间播放",""
