"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 14:10:12 CST 2024","Tue Apr 30 14:10:22 CST 2024","9646","test_case","test_program_management","TestProgramManagement","","","新增一个竖屏的普通节目",""
"passed","Tue Apr 30 14:01:43 CST 2024","Tue Apr 30 14:01:49 CST 2024","6236","test_case","test_media_center","TestMediaCenter","","","点击素材中心",""
"passed","Tue Apr 30 14:14:10 CST 2024","Tue Apr 30 14:14:13 CST 2024","2910","test_case","test_release_management","TestReleaseManagemen_2","","","通过设备id，来搜索设备",""
"skipped","Tue Apr 30 14:16:22 CST 2024","Tue Apr 30 14:16:22 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置时间段1，固定时间播放",""
"passed","Tue Apr 30 14:11:54 CST 2024","Tue Apr 30 14:12:00 CST 2024","6017","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-列数，箭头向上增加个数分功能",""
"passed","Tue Apr 30 14:06:13 CST 2024","Tue Apr 30 14:06:29 CST 2024","15494","test_case","test_media_center","TestMediaCenter","","","取消删除单个素材",""
"passed","Tue Apr 30 14:12:05 CST 2024","Tue Apr 30 14:12:21 CST 2024","15388","test_case","test_program_management","TestProgramManagement","","","删除一个节目",""
"broken","Tue Apr 30 14:22:30 CST 2024","Tue Apr 30 14:22:32 CST 2024","2149","test_case","test_system_management","TestSystemManagement","","","创建新账户,新账户的类型是企业管理员",""
"passed","Tue Apr 30 14:14:26 CST 2024","Tue Apr 30 14:14:28 CST 2024","2087","test_case","test_release_management","TestReleaseManagemen_2","","","展开所有的机构",""
"passed","Tue Apr 30 14:13:48 CST 2024","Tue Apr 30 14:13:52 CST 2024","3560","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"passed","Tue Apr 30 14:07:04 CST 2024","Tue Apr 30 14:07:20 CST 2024","16203","test_case","test_media_center","TestMediaCenter","","","单个素材发布",""
"passed","Tue Apr 30 14:13:55 CST 2024","Tue Apr 30 14:13:57 CST 2024","2147","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 高",""
"passed","Tue Apr 30 14:09:50 CST 2024","Tue Apr 30 14:09:53 CST 2024","2154","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤返回修改节目单",""
