"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 16:00:47 CST 2024","Sat Jun 15 16:01:00 CST 2024","13210","test_case","test_media_center","TestMediaCenter","","","重命名文件名称",""
"passed","Sat Jun 15 15:58:44 CST 2024","Sat Jun 15 15:58:53 CST 2024","9103","test_case","test_media_center","TestMediaCenter","","","查看上传tooltips",""
"passed","Sat Jun 15 16:14:39 CST 2024","Sat Jun 15 16:14:40 CST 2024","1463","test_case","test_terminal_center","TestTerminalCenter","","","打开节目列表",""
"passed","Sat Jun 15 16:03:40 CST 2024","Sat Jun 15 16:03:40 CST 2024","745","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤暂存节目单",""
"passed","Sat Jun 15 16:13:00 CST 2024","Sat Jun 15 16:14:30 CST 2024","90533","test_case","test_terminal_center","TestTerminalCenter","","","批量发送插播字幕",""
"skipped","Sat Jun 15 16:04:34 CST 2024","Sat Jun 15 16:04:34 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Sat Jun 15 15:59:47 CST 2024","Sat Jun 15 15:59:48 CST 2024","643","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向上增加个数分功能",""
"skipped","Sat Jun 15 16:01:17 CST 2024","Sat Jun 15 16:01:17 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中，重新选择设备标签",""
"passed","Sat Jun 15 15:59:17 CST 2024","Sat Jun 15 15:59:28 CST 2024","10946","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Sat Jun 15 16:01:18 CST 2024","Sat Jun 15 16:02:47 CST 2024","89170","test_case","test_terminal_center","TestTerminalCenter","","","下发关机指令",""
"passed","Sat Jun 15 16:01:13 CST 2024","Sat Jun 15 16:01:25 CST 2024","11885","test_case","test_media_center","TestMediaCenter","","","在删除单个素材弹框，关闭删除弹框",""
"passed","Sat Jun 15 15:59:46 CST 2024","Sat Jun 15 15:59:47 CST 2024","698","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向下减少个数分功能",""
"skipped","Sat Jun 15 16:01:16 CST 2024","Sat Jun 15 16:01:16 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","设置时间段1，固定时间播放",""
"passed","Sat Jun 15 16:11:28 CST 2024","Sat Jun 15 16:11:30 CST 2024","2357","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-进行标签的折叠",""
"passed","Sat Jun 15 16:14:33 CST 2024","Sat Jun 15 16:14:33 CST 2024","617","test_case","test_terminal_center","TestTerminalCenter","","","查看设备中心-组织架构树，折叠和展开所有门店",""
"passed","Sat Jun 15 15:59:00 CST 2024","Sat Jun 15 15:59:00 CST 2024","141","test_case","test_release_management","TestReleaseStrategy","","","发布策略，取消发布",""
"broken","Sat Jun 15 16:17:51 CST 2024","Sat Jun 15 16:19:27 CST 2024","95866","test_case","test_terminal_center","TestTerminalCenter","","","删除设备成功",""
"passed","Sat Jun 15 16:06:32 CST 2024","Sat Jun 15 16:06:34 CST 2024","2123","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-重置筛选条件",""
"skipped","Sat Jun 15 16:04:34 CST 2024","Sat Jun 15 16:04:34 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Sat Jun 15 16:01:16 CST 2024","Sat Jun 15 16:01:20 CST 2024","3453","test_case","test_release_management","TestReleaseStrategy","","","保存为标签",""
"passed","Sat Jun 15 15:59:01 CST 2024","Sat Jun 15 15:59:01 CST 2024","748","test_case","test_release_management","TestReleaseStrategy","","","通过设备名称，来搜索设备",""
"skipped","Sat Jun 15 16:04:34 CST 2024","Sat Jun 15 16:04:34 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"skipped","Sat Jun 15 16:01:17 CST 2024","Sat Jun 15 16:01:17 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中重新选择机构",""
"passed","Sat Jun 15 16:02:26 CST 2024","Sat Jun 15 16:02:29 CST 2024","2708","test_case","test_play_bill","TestPlayBill","","","节目单预览",""
"passed","Sat Jun 15 16:00:39 CST 2024","Sat Jun 15 16:01:26 CST 2024","47453","test_case","test_program_management","TestProgramManagement","","","重新编辑节目",""
"passed","Sat Jun 15 15:58:52 CST 2024","Sat Jun 15 15:58:54 CST 2024","1360","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"passed","Sat Jun 15 16:00:45 CST 2024","Sat Jun 15 16:00:51 CST 2024","6063","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Sat Jun 15 16:03:05 CST 2024","Sat Jun 15 16:03:51 CST 2024","45425","test_case","test_program_management","TestProgramManagement","","","取消删除节目",""
"passed","Sat Jun 15 16:14:40 CST 2024","Sat Jun 15 16:14:42 CST 2024","1855","test_case","test_terminal_center","TestTerminalCenter","","","取消绑定设备",""
"passed","Sat Jun 15 16:04:25 CST 2024","Sat Jun 15 16:04:27 CST 2024","1988","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"broken","Sat Jun 15 16:08:54 CST 2024","Sat Jun 15 16:11:04 CST 2024","130761","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-预览仅一个节目",""
"passed","Sat Jun 15 15:58:58 CST 2024","Sat Jun 15 15:59:00 CST 2024","1115","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择发布策略： 追加",""
"passed","Sat Jun 15 15:58:37 CST 2024","Sat Jun 15 15:58:44 CST 2024","6648","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的普通节目",""
"passed","Sat Jun 15 16:16:37 CST 2024","Sat Jun 15 16:17:50 CST 2024","73674","test_case","test_terminal_center","TestTerminalCenter","","","取消删除设备",""
"passed","Sat Jun 15 16:00:21 CST 2024","Sat Jun 15 16:00:27 CST 2024","6118","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Sat Jun 15 16:00:33 CST 2024","Sat Jun 15 16:00:46 CST 2024","13015","test_case","test_media_center","TestMediaCenter","","","取消编辑素材",""
"passed","Sat Jun 15 16:04:15 CST 2024","Sat Jun 15 16:04:21 CST 2024","5603","test_case","test_system_management","TestSystemManagement","","","筛选操作日志：昨天、今天",""
"passed","Sat Jun 15 16:04:33 CST 2024","Sat Jun 15 16:04:34 CST 2024","1740","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Sat Jun 15 16:02:07 CST 2024","Sat Jun 15 16:02:20 CST 2024","13209","test_case","test_media_center","TestMediaCenter","","","单个素材发布",""
"passed","Sat Jun 15 15:59:50 CST 2024","Sat Jun 15 15:59:50 CST 2024","498","test_case","test_program_management","TestProgramManagement","","","新建一个文件夹",""
