"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 09:21:43 CST 2024","Thu Jun 20 09:22:49 CST 2024","66566","test_case","test_terminal_center","TestTerminalCenter","","","在设备中心，点击更多按钮",""
"broken","Thu Jun 20 09:09:23 CST 2024","Thu Jun 20 09:10:59 CST 2024","96505","test_case","test_program_management","TestProgramManagement","","","引用节目",""
"passed","Thu Jun 20 09:13:38 CST 2024","Thu Jun 20 09:13:44 CST 2024","5659","test_case","test_release_management","TestReleaseStrategy","","","删除第一个标签",""
"passed","Thu Jun 20 09:12:46 CST 2024","Thu Jun 20 09:13:28 CST 2024","41137","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤审批中节目单",""
"passed","Thu Jun 20 09:15:15 CST 2024","Thu Jun 20 09:15:16 CST 2024","1410","test_case","test_terminal_center","TestTerminalCenter","","","打开节目列表",""
"passed","Thu Jun 20 09:07:21 CST 2024","Thu Jun 20 09:07:27 CST 2024","6252","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Thu Jun 20 09:06:24 CST 2024","Thu Jun 20 09:06:30 CST 2024","5880","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"skipped","Thu Jun 20 09:08:32 CST 2024","Thu Jun 20 09:08:32 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","同时删除3个节目",""
"passed","Thu Jun 20 09:07:55 CST 2024","Thu Jun 20 09:08:02 CST 2024","6578","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"broken","Thu Jun 20 09:06:49 CST 2024","Thu Jun 20 09:06:56 CST 2024","6739","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Thu Jun 20 09:17:12 CST 2024","Thu Jun 20 09:18:18 CST 2024","66522","test_case","test_terminal_center","TestTerminalCenter","","","取消删除设备",""
"passed","Thu Jun 20 09:16:05 CST 2024","Thu Jun 20 09:17:11 CST 2024","66713","test_case","test_terminal_center","TestTerminalCenter","","","重命名设备名称",""
"passed","Thu Jun 20 09:07:37 CST 2024","Thu Jun 20 09:07:39 CST 2024","1847","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向上增加个数分功能",""
"passed","Thu Jun 20 09:06:32 CST 2024","Thu Jun 20 09:06:33 CST 2024","1115","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 高",""
"passed","Thu Jun 20 09:07:09 CST 2024","Thu Jun 20 09:07:15 CST 2024","5649","test_case","test_system_management","TestSystemManagement","","","筛选操作日志：昨天、今天",""
"passed","Thu Jun 20 09:07:02 CST 2024","Thu Jun 20 09:07:09 CST 2024","6671","test_case","test_system_management","TestSystemManagement","","","创建新账户,新账户的类型是企业管理员",""
"skipped","Thu Jun 20 09:06:57 CST 2024","Thu Jun 20 09:06:57 CST 2024","0","test_case","test_testin_login","TestLogin","","","点击个人中心头像logo",""
"passed","Thu Jun 20 09:07:56 CST 2024","Thu Jun 20 09:08:37 CST 2024","41135","test_case","test_play_bill","TestPlayBill","","","关闭节目单引用弹框",""
"broken","Thu Jun 20 09:08:27 CST 2024","Thu Jun 20 09:08:30 CST 2024","2436","test_case","test_media_center","TestMediaCenter","","","取消删除单个素材",""
"passed","Thu Jun 20 09:06:35 CST 2024","Thu Jun 20 09:07:45 CST 2024","69528","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
