"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目hkc","media center","","0","0","18","0","0"
"项目hkc","terminal_center","","0","1","20","2","0"
"项目hkc","program management","","0","1","18","1","0"
"项目hkc","play bill list","","0","16","0","0","0"
"项目hkc","login","","0","0","0","6","0"
"项目hkc","release management2","","0","1","34","2","0"
"项目hkc","release management","","0","0","8","1","0"
"项目hkc","system management","","0","0","9","0","0"
"项目hkc","login-test","","0","0","6","1","0"
