"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 19:11:28 CST 2024","Tue May 07 19:11:31 CST 2024","2229","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择发布策略： 追加",""
"passed","Tue May 07 19:10:17 CST 2024","Tue May 07 19:10:43 CST 2024","25183","test_case","test_media_center","TestMediaCenter","","","上传指定文件夹下的所有文件",""
"broken","Tue May 07 19:11:53 CST 2024","Tue May 07 19:11:55 CST 2024","2157","test_case","test_system_management","TestSystemManagement","","","创建新账号,不输入内容，点击确认",""
"passed","Tue May 07 19:23:00 CST 2024","Tue May 07 19:23:04 CST 2024","3679","test_case","test_release_management","TestReleaseManagemen_2","","","取消选择周几播放",""
"passed","Tue May 07 19:26:33 CST 2024","Tue May 07 19:27:08 CST 2024","35587","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选横屏节目",""
"passed","Tue May 07 19:03:50 CST 2024","Tue May 07 19:03:53 CST 2024","2835","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择不静音播放",""
"skipped","Tue May 07 19:29:02 CST 2024","Tue May 07 19:29:02 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"broken","Tue May 07 19:18:19 CST 2024","Tue May 07 19:18:19 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","确认删除单个素材，删除成功",""
"broken","Tue May 07 19:16:38 CST 2024","Tue May 07 19:16:38 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","取消删除单个素材",""
"broken","Tue May 07 19:18:19 CST 2024","Tue May 07 19:18:21 CST 2024","2185","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤返回修改节目单",""
"broken","Tue May 07 19:13:17 CST 2024","Tue May 07 19:13:17 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","成功失效节目单",""
"passed","Tue May 07 19:24:04 CST 2024","Tue May 07 19:24:41 CST 2024","36549","test_case","test_terminal_center","TestTerminalCenter","","","重命名设备名称",""
"broken","Tue May 07 19:00:10 CST 2024","Tue May 07 19:00:10 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的普通节目",""
"passed","Tue May 07 19:20:50 CST 2024","Tue May 07 19:20:56 CST 2024","6094","test_case","test_release_management","TestReleaseManagemen_2","","","折叠所有的机构",""
"skipped","Tue May 07 19:13:27 CST 2024","Tue May 07 19:13:27 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","发布管理：选择一个设备",""
"passed","Tue May 07 19:19:38 CST 2024","Tue May 07 19:19:40 CST 2024","1986","test_case","test_release_management","TestReleaseManagemen_2","","","切换交并集",""
"broken","Tue May 07 19:18:08 CST 2024","Tue May 07 19:18:11 CST 2024","2207","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤审批中节目单",""
"passed","Tue May 07 19:27:26 CST 2024","Tue May 07 19:27:30 CST 2024","3614","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-重置筛选条件",""
"passed","Tue May 07 19:21:21 CST 2024","Tue May 07 19:21:34 CST 2024","13074","test_case","test_program_management","TestProgramManagement","","","确认删除节目",""
"passed","Tue May 07 19:13:27 CST 2024","Tue May 07 19:13:40 CST 2024","12491","test_case","test_system_management","TestSystemManagement","","","创建新账户,新账户的类型是企业管理员",""
"passed","Tue May 07 19:23:32 CST 2024","Tue May 07 19:23:40 CST 2024","7751","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"passed","Tue May 07 19:03:14 CST 2024","Tue May 07 19:03:19 CST 2024","4828","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 19:18:41 CST 2024","Tue May 07 19:19:16 CST 2024","35218","test_case","test_terminal_center","TestTerminalCenter","","","查看设备信息",""
"broken","Tue May 07 19:19:36 CST 2024","Tue May 07 19:19:38 CST 2024","2151","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤已发布节目单",""
"broken","Tue May 07 19:19:46 CST 2024","Tue May 07 19:19:46 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","单个素材发布",""
"broken","Tue May 07 19:15:02 CST 2024","Tue May 07 19:15:02 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","取消删除节目单",""
"broken","Tue May 07 19:04:21 CST 2024","Tue May 07 19:05:14 CST 2024","52931","test_case","test_terminal_center","TestTerminalCenter","","","在设备中心，点击更多按钮",""
"passed","Tue May 07 19:05:48 CST 2024","Tue May 07 19:06:00 CST 2024","11698","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 高",""
"broken","Tue May 07 19:19:35 CST 2024","Tue May 07 19:19:35 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","批量删除成功",""
"skipped","Tue May 07 19:05:14 CST 2024","Tue May 07 19:05:14 CST 2024","0","test_case","test_testin_login","TestLogin","","","点击个人中心头像logo",""
"broken","Tue May 07 19:11:41 CST 2024","Tue May 07 19:11:41 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","取消节目单失效",""
"broken","Tue May 07 19:16:39 CST 2024","Tue May 07 19:16:39 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤暂存节目单",""
"broken","Tue May 07 19:00:28 CST 2024","Tue May 07 19:00:30 CST 2024","2188","test_case","test_system_management","TestSystemManagement","","","点击系统管理",""
"broken","Tue May 07 19:19:26 CST 2024","Tue May 07 19:19:26 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","关闭批量删除弹框",""
"broken","Tue May 07 19:19:28 CST 2024","Tue May 07 19:19:30 CST 2024","2173","test_case","test_release_management","TestReleaseManagemen_2","","","在选设备抽屉，切换到‘设备分组’tab上",""
"passed","Tue May 07 19:16:40 CST 2024","Tue May 07 19:16:46 CST 2024","6065","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-列数，箭头向上增加个数分功能",""
"broken","Tue May 07 19:13:17 CST 2024","Tue May 07 19:13:17 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","预览素材",""
"passed","Tue May 07 19:07:06 CST 2024","Tue May 07 19:07:08 CST 2024","2223","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 低",""
"skipped","Tue May 07 19:29:02 CST 2024","Tue May 07 19:29:02 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"broken","Tue May 07 19:05:19 CST 2024","Tue May 07 19:05:19 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Tue May 07 19:08:16 CST 2024","Tue May 07 19:08:18 CST 2024","1752","test_case","test_program_management","TestProgramManagement","","","关闭创建节目弹框",""
"passed","Tue May 07 19:27:58 CST 2024","Tue May 07 19:28:25 CST 2024","26832","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-预览仅一个节目",""
"passed","Tue May 07 19:20:08 CST 2024","Tue May 07 19:20:10 CST 2024","2073","test_case","test_terminal_center","TestTerminalCenter","","","查看播放列表",""
"passed","Tue May 07 19:23:24 CST 2024","Tue May 07 19:23:32 CST 2024","7776","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"broken","Tue May 07 19:11:04 CST 2024","Tue May 07 19:11:28 CST 2024","24022","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的联屏节目",""
"passed","Tue May 07 19:15:11 CST 2024","Tue May 07 19:15:15 CST 2024","4589","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-列数，箭头向下减少个数分功能",""
"passed","Tue May 07 19:28:37 CST 2024","Tue May 07 19:28:44 CST 2024","7089","test_case","test_release_management","TestReleaseManagemen_2","","","删除第一个标签",""
"passed","Tue May 07 19:01:56 CST 2024","Tue May 07 19:02:01 CST 2024","4952","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"broken","Tue May 07 19:02:01 CST 2024","Tue May 07 19:02:22 CST 2024","21121","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 19:24:58 CST 2024","Tue May 07 19:25:33 CST 2024","35275","test_case","test_terminal_center","TestTerminalCenter","","","取消删除设备",""
"passed","Tue May 07 19:20:27 CST 2024","Tue May 07 19:20:29 CST 2024","2075","test_case","test_release_management","TestReleaseManagemen_2","","","展开所有的机构",""
"passed","Tue May 07 19:19:23 CST 2024","Tue May 07 19:19:26 CST 2024","2746","test_case","test_terminal_center","TestTerminalCenter","","","查看设备中心-组织架构树，折叠和展开所有门店",""
"broken","Tue May 07 19:11:36 CST 2024","Tue May 07 19:11:38 CST 2024","2714","test_case","test_terminal_center","TestTerminalCenter","","","插播字幕，输入随机内容",""
"passed","Tue May 07 19:20:32 CST 2024","Tue May 07 19:20:34 CST 2024","2593","test_case","test_terminal_center","TestTerminalCenter","","","打开节目列表",""
"passed","Tue May 07 19:19:47 CST 2024","Tue May 07 19:20:02 CST 2024","15198","test_case","test_program_management","TestProgramManagement","","","引用节目",""
"passed","Tue May 07 19:28:29 CST 2024","Tue May 07 19:28:32 CST 2024","3749","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-进行标签的折叠",""
"passed","Tue May 07 19:18:22 CST 2024","Tue May 07 19:18:38 CST 2024","15711","test_case","test_program_management","TestProgramManagement","","","删除一个节目",""
"passed","Tue May 07 19:03:09 CST 2024","Tue May 07 19:03:14 CST 2024","4949","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 19:13:25 CST 2024","Tue May 07 19:13:27 CST 2024","1764","test_case","test_release_management","TestReleaseStrategy","","","发布策略，关闭发布",""
"broken","Tue May 07 19:15:02 CST 2024","Tue May 07 19:15:02 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","取消编辑素材",""
"passed","Tue May 07 19:20:37 CST 2024","Tue May 07 19:20:50 CST 2024","13228","test_case","test_program_management","TestProgramManagement","","","取消删除节目",""
"broken","Tue May 07 19:15:10 CST 2024","Tue May 07 19:15:10 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","成功删除节目单",""
"passed","Tue May 07 19:05:36 CST 2024","Tue May 07 19:05:48 CST 2024","11380","test_case","test_program_management","TestProgramManagement","","","新增一个自定义屏幕尺寸的普通节目",""
"passed","Tue May 07 19:19:42 CST 2024","Tue May 07 19:19:46 CST 2024","3923","test_case","test_terminal_center","TestTerminalCenter","","","查看设备中心-组织架构，切换到设备分组tab和组织架构tab",""
"passed","Tue May 07 19:08:21 CST 2024","Tue May 07 19:08:25 CST 2024","3991","test_case","test_system_management","TestSystemManagement","","","删除机构-取消删除",""
"passed","Tue May 07 19:16:46 CST 2024","Tue May 07 19:16:49 CST 2024","2398","test_case","test_release_management","TestReleaseManagemen_2","","","通过设备名称，来搜索设备",""
"passed","Tue May 07 19:22:33 CST 2024","Tue May 07 19:23:00 CST 2024","26805","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排中，选择日期",""
"passed","Tue May 07 19:07:04 CST 2024","Tue May 07 19:07:06 CST 2024","2346","test_case","test_program_management","TestProgramManagement","","","取消新增普通节目",""
"broken","Tue May 07 19:26:15 CST 2024","Tue May 07 19:26:15 CST 2024","391","test_case","test_release_management","TestReleaseManagemen_2","","","在节目编排中，选择节目",""
"passed","Tue May 07 19:23:09 CST 2024","Tue May 07 19:23:16 CST 2024","7762","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"broken","Tue May 07 19:26:32 CST 2024","Tue May 07 19:26:33 CST 2024","141","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选简单节目",""
"passed","Tue May 07 19:18:12 CST 2024","Tue May 07 19:18:15 CST 2024","2643","test_case","test_program_management","TestProgramManagement","","","新建一个文件夹",""
"passed","Tue May 07 19:19:19 CST 2024","Tue May 07 19:19:22 CST 2024","3591","test_case","test_release_management","TestReleaseManagemen_2","","","清空设备",""
"skipped","Tue May 07 19:29:02 CST 2024","Tue May 07 19:29:02 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Tue May 07 19:19:31 CST 2024","Tue May 07 19:19:35 CST 2024","3961","test_case","test_terminal_center","TestTerminalCenter","","","查看设备中心-组织架构树，取消选择和全选所有门店",""
"broken","Tue May 07 19:05:14 CST 2024","Tue May 07 19:05:14 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Tue May 07 19:15:04 CST 2024","Tue May 07 19:15:09 CST 2024","5176","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向上增加个数分功能",""
"passed","Tue May 07 19:16:50 CST 2024","Tue May 07 19:18:08 CST 2024","78168","test_case","test_terminal_center","TestTerminalCenter","","","批量操作：停止、播放",""
"passed","Tue May 07 19:03:35 CST 2024","Tue May 07 19:03:47 CST 2024","12345","test_case","test_play_bill","TestPlayBill","","","取消节目单引用",""
"passed","Tue May 07 19:08:18 CST 2024","Tue May 07 19:08:21 CST 2024","2858","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择发布策略： 覆盖",""
"broken","Tue May 07 19:19:26 CST 2024","Tue May 07 19:19:28 CST 2024","2191","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤已发布节目单",""
"broken","Tue May 07 19:06:39 CST 2024","Tue May 07 19:07:01 CST 2024","22215","test_case","test_play_bill","TestPlayBill","","","成功引用用节目单",""
"passed","Tue May 07 19:06:00 CST 2024","Tue May 07 19:06:37 CST 2024","37198","test_case","test_system_management","TestSystemManagement","","","添加门店",""
"broken","Tue May 07 19:08:27 CST 2024","Tue May 07 19:10:16 CST 2024","108428","test_case","test_terminal_center","TestTerminalCenter","","","下发关机指令",""
"passed","Tue May 07 19:21:34 CST 2024","Tue May 07 19:21:40 CST 2024","5610","test_case","test_release_management","TestReleaseManagemen_2","","","选择所有的机构",""
"broken","Tue May 07 19:10:43 CST 2024","Tue May 07 19:10:43 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","进行节目单的编辑",""
"passed","Tue May 07 19:07:17 CST 2024","Tue May 07 19:07:33 CST 2024","15796","test_case","test_media_center","TestMediaCenter","","","选择屏幕贴类型，进行素材上传",""
"passed","Tue May 07 19:15:15 CST 2024","Tue May 07 19:15:18 CST 2024","2832","test_case","test_release_management","TestReleaseManagemen_2","","","通过设备id，来搜索设备",""
"broken","Tue May 07 19:11:31 CST 2024","Tue May 07 19:11:33 CST 2024","2732","test_case","test_system_management","TestSystemManagement","","","删除机构-确定删除",""
"passed","Tue May 07 19:23:07 CST 2024","Tue May 07 19:23:09 CST 2024","2021","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中，直接点击保存",""
"passed","Tue May 07 19:21:40 CST 2024","Tue May 07 19:22:30 CST 2024","49330","test_case","test_terminal_center","TestTerminalCenter","","","绑定-接入设备",""
"passed","Tue May 07 19:28:32 CST 2024","Tue May 07 19:28:37 CST 2024","4343","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选择节目-进行标签的展开",""
"passed","Tue May 07 19:28:44 CST 2024","Tue May 07 19:29:02 CST 2024","17658","test_case","test_system_management","TestSystemManagement","","","筛选操作日志：昨天、今天",""
"passed","Tue May 07 18:59:39 CST 2024","Tue May 07 18:59:45 CST 2024","5944","test_case","test_media_center","TestMediaCenter","","","点击素材中心",""
"passed","Tue May 07 19:02:43 CST 2024","Tue May 07 19:02:48 CST 2024","5057","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 19:03:20 CST 2024","Tue May 07 19:03:35 CST 2024","14061","test_case","test_media_center","TestMediaCenter","","","查看上传tooltips",""
"broken","Tue May 07 19:15:09 CST 2024","Tue May 07 19:15:09 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","重命名文件名称",""
"passed","Tue May 07 19:20:57 CST 2024","Tue May 07 19:21:10 CST 2024","13020","test_case","test_program_management","TestProgramManagement","","","关闭删除节目弹框",""
"broken","Tue May 07 19:03:47 CST 2024","Tue May 07 19:03:47 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","新增一个竖屏的普通节目",""
"passed","Tue May 07 19:15:19 CST 2024","Tue May 07 19:16:38 CST 2024","79046","test_case","test_terminal_center","TestTerminalCenter","","","发送插播字幕，次数：随机1-10次",""
"skipped","Tue May 07 19:06:38 CST 2024","Tue May 07 19:06:38 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中重新选择机构",""
"passed","Tue May 07 19:27:08 CST 2024","Tue May 07 19:27:26 CST 2024","17910","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-过滤分辨率",""
"passed","Tue May 07 19:26:15 CST 2024","Tue May 07 19:26:32 CST 2024","17170","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选普通节目",""
"broken","Tue May 07 19:18:08 CST 2024","Tue May 07 19:18:08 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","在删除单个素材弹框，关闭删除弹框",""
"skipped","Tue May 07 19:29:02 CST 2024","Tue May 07 19:29:02 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"skipped","Tue May 07 19:18:15 CST 2024","Tue May 07 19:18:15 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","清空搜索",""
"passed","Tue May 07 19:23:40 CST 2024","Tue May 07 19:23:47 CST 2024","7726","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"broken","Tue May 07 19:00:32 CST 2024","Tue May 07 19:01:56 CST 2024","84204","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
"passed","Tue May 07 19:18:38 CST 2024","Tue May 07 19:18:40 CST 2024","1957","test_case","test_release_management","TestReleaseManagemen_2","","","全选设备",""
"broken","Tue May 07 19:18:16 CST 2024","Tue May 07 19:18:19 CST 2024","2664","test_case","test_terminal_center","TestTerminalCenter","","","批量发送插播字幕",""
