"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目hkc","play bill list","","0","16","0","0","0"
"项目hkc","program management","","0","12","7","1","0"
"项目hkc","release management","","0","7","1","1","0"
"项目hkc","login-test","","0","0","7","1","0"
"项目hkc","release management2","","0","35","0","2","0"
"项目hkc","terminal_center","","0","16","5","2","0"
"项目hkc","media center","","0","9","9","0","0"
"项目hkc","login","","0","0","0","7","0"
"项目hkc","system management","","0","1","8","0","0"
