"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 07 16:12:39 CST 2024","Tue May 07 16:12:39 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","取消删除节目单",""
"broken","Tue May 07 16:12:45 CST 2024","Tue May 07 16:12:45 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-列数，箭头向下减少个数分功能",""
"skipped","Tue May 07 16:09:28 CST 2024","Tue May 07 16:09:28 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","发布管理：选择一个设备",""
"passed","Tue May 07 15:59:21 CST 2024","Tue May 07 15:59:26 CST 2024","4246","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"broken","Tue May 07 15:59:35 CST 2024","Tue May 07 15:59:35 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","取消节目单引用",""
"passed","Tue May 07 15:59:09 CST 2024","Tue May 07 15:59:13 CST 2024","4199","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"broken","Tue May 07 16:17:09 CST 2024","Tue May 07 16:17:09 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","重命名节目",""
"broken","Tue May 07 16:19:48 CST 2024","Tue May 07 16:19:48 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"passed","Tue May 07 15:58:00 CST 2024","Tue May 07 15:58:56 CST 2024","56354","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
"broken","Tue May 07 16:16:09 CST 2024","Tue May 07 16:16:09 CST 2024","0","test_case","test_media_center","TestMediaCenter","","","关闭批量删除弹框",""
"broken","Tue May 07 16:17:35 CST 2024","Tue May 07 16:17:35 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","取消删除节目",""
"skipped","Tue May 07 16:23:38 CST 2024","Tue May 07 16:23:38 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Tue May 07 15:57:34 CST 2024","Tue May 07 15:57:45 CST 2024","10723","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的普通节目",""
"passed","Tue May 07 15:57:57 CST 2024","Tue May 07 15:57:59 CST 2024","1565","test_case","test_system_management","TestSystemManagement","","","点击系统管理",""
"broken","Tue May 07 16:19:49 CST 2024","Tue May 07 16:21:28 CST 2024","99077","test_case","test_terminal_center","TestTerminalCenter","","","重命名设备名称",""
"passed","Tue May 07 16:00:36 CST 2024","Tue May 07 16:00:50 CST 2024","13362","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"broken","Tue May 07 16:07:36 CST 2024","Tue May 07 16:07:39 CST 2024","2182","test_case","test_system_management","TestSystemManagement","","","创建新账号,不输入内容，点击确认",""
"broken","Tue May 07 16:15:19 CST 2024","Tue May 07 16:15:19 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤暂存节目单",""
"broken","Tue May 07 16:23:11 CST 2024","Tue May 07 16:23:11 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-重置筛选条件",""
"broken","Tue May 07 16:17:37 CST 2024","Tue May 07 16:17:37 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","关闭删除节目弹框",""
"broken","Tue May 07 16:16:46 CST 2024","Tue May 07 16:16:46 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","从选设备，跳转到‘节目编排’",""
