"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 17:12:01 CST 2024","Tue May 07 17:12:06 CST 2024","4817","test_case","test_release_management","TestReleaseManagemen_2","","","保存为标签",""
"broken","Tue May 07 17:09:59 CST 2024","Tue May 07 17:10:01 CST 2024","2122","test_case","test_release_management","TestReleaseManagemen_2","","","在选设备抽屉，切换到‘设备分组’tab上",""
"passed","Tue May 07 17:10:48 CST 2024","Tue May 07 17:10:51 CST 2024","3658","test_case","test_release_management","TestReleaseManagemen_2","","","取消选择周几播放",""
"skipped","Tue May 07 17:12:01 CST 2024","Tue May 07 17:12:01 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置时间段1，固定时间播放",""
"passed","Tue May 07 17:11:15 CST 2024","Tue May 07 17:11:22 CST 2024","7763","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"passed","Tue May 07 17:09:30 CST 2024","Tue May 07 17:09:34 CST 2024","3331","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"passed","Tue May 07 17:10:08 CST 2024","Tue May 07 17:10:14 CST 2024","5973","test_case","test_release_management","TestReleaseManagemen_2","","","折叠所有的机构",""
"passed","Tue May 07 17:09:55 CST 2024","Tue May 07 17:09:59 CST 2024","3339","test_case","test_release_management","TestReleaseManagemen_2","","","清空设备",""
"passed","Tue May 07 17:10:01 CST 2024","Tue May 07 17:10:03 CST 2024","1886","test_case","test_release_management","TestReleaseManagemen_2","","","切换交并集",""
"passed","Tue May 07 17:09:51 CST 2024","Tue May 07 17:09:53 CST 2024","2209","test_case","test_release_management","TestReleaseManagemen_2","","","通过设备名称，来搜索设备",""
"passed","Tue May 07 17:12:06 CST 2024","Tue May 07 17:12:35 CST 2024","29301","test_case","test_release_management","TestReleaseManagemen_2","","","在节目编排中，选择节目",""
"passed","Tue May 07 17:09:38 CST 2024","Tue May 07 17:09:41 CST 2024","2155","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择优先级为: 低",""
"passed","Tue May 07 17:10:51 CST 2024","Tue May 07 17:10:59 CST 2024","7698","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
"passed","Tue May 07 17:09:47 CST 2024","Tue May 07 17:09:49 CST 2024","1612","test_case","test_release_management","TestReleaseStrategy","","","发布策略，关闭发布",""
"passed","Tue May 07 17:10:06 CST 2024","Tue May 07 17:10:08 CST 2024","1940","test_case","test_release_management","TestReleaseManagemen_2","","","展开所有的机构",""
"passed","Tue May 07 17:14:26 CST 2024","Tue May 07 17:14:44 CST 2024","18151","","","","","","节目编排-选节目-预览所有",""
"passed","Tue May 07 17:13:30 CST 2024","Tue May 07 17:14:05 CST 2024","35020","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选横屏节目",""
