"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 07 13:43:13 CST 2024","Tue May 07 13:43:13 CST 2024","31","test_case","test_play_bill","TestPlayBill","","","取消节目单引用",""
"passed","Tue May 07 13:43:15 CST 2024","Tue May 07 13:43:25 CST 2024","9794","test_case","test_program_management","TestProgramManagement","","","新增一个竖屏的普通节目",""
"passed","Tue May 07 13:43:25 CST 2024","Tue May 07 13:43:36 CST 2024","10931","test_case","test_system_management","TestSystemManagement","","","添加分支",""
"passed","Tue May 07 13:42:40 CST 2024","Tue May 07 13:42:44 CST 2024","4240","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 13:39:55 CST 2024","Tue May 07 13:40:01 CST 2024","5742","test_case","test_media_center","TestMediaCenter","","","点击素材中心",""
"passed","Tue May 07 13:43:38 CST 2024","Tue May 07 13:43:39 CST 2024","1007","","","","","","在设备中心，点击更多按钮",""
"passed","Tue May 07 13:41:31 CST 2024","Tue May 07 13:42:27 CST 2024","56345","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
"passed","Tue May 07 13:41:28 CST 2024","Tue May 07 13:41:30 CST 2024","1568","test_case","test_system_management","TestSystemManagement","","","点击系统管理",""
"passed","Tue May 07 13:41:25 CST 2024","Tue May 07 13:41:28 CST 2024","3327","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"passed","Tue May 07 13:43:04 CST 2024","Tue May 07 13:43:13 CST 2024","8336","test_case","test_media_center","TestMediaCenter","","","查看上传tooltips",""
"broken","Tue May 07 13:43:25 CST 2024","Tue May 07 13:43:25 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择不静音播放",""
"passed","Tue May 07 13:40:59 CST 2024","Tue May 07 13:41:03 CST 2024","3741","test_case","test_play_bill","TestPlayBill","","","节目单预览",""
"passed","Tue May 07 13:42:44 CST 2024","Tue May 07 13:42:49 CST 2024","4338","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 13:42:32 CST 2024","Tue May 07 13:42:36 CST 2024","4302","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 13:41:05 CST 2024","Tue May 07 13:41:15 CST 2024","10766","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的普通节目",""
"passed","Tue May 07 13:42:27 CST 2024","Tue May 07 13:42:32 CST 2024","4331","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 13:42:49 CST 2024","Tue May 07 13:42:53 CST 2024","4305","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 13:42:36 CST 2024","Tue May 07 13:42:40 CST 2024","4300","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
