"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 07 09:49:52 CST 2024","Tue May 07 09:51:33 CST 2024","100412","test_case","test_terminal_center","TestTerminalCenter","","","发送插播字幕，位置：上",""
"passed","Tue May 07 09:49:27 CST 2024","Tue May 07 09:49:34 CST 2024","6532","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向下减少个数分功能",""
"passed","Tue May 07 09:44:28 CST 2024","Tue May 07 09:44:59 CST 2024","30955","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的联屏节目",""
"skipped","Tue May 07 09:58:42 CST 2024","Tue May 07 09:58:42 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","清空搜索",""
"passed","Tue May 07 09:36:48 CST 2024","Tue May 07 09:37:45 CST 2024","56639","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
"passed","Tue May 07 09:37:45 CST 2024","Tue May 07 09:37:50 CST 2024","4540","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 09:37:50 CST 2024","Tue May 07 09:37:54 CST 2024","4247","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Tue May 07 09:54:53 CST 2024","Tue May 07 09:55:09 CST 2024","16048","test_case","test_media_center","TestMediaCenter","","","取消删除单个素材",""
"passed","Tue May 07 10:02:20 CST 2024","Tue May 07 10:02:33 CST 2024","13475","test_case","test_program_management","TestProgramManagement","","","确认删除节目",""
"skipped","Tue May 07 10:08:20 CST 2024","Tue May 07 10:08:20 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"broken","Tue May 07 09:49:23 CST 2024","Tue May 07 09:49:23 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","成功失效节目单",""
"broken","Tue May 07 09:52:19 CST 2024","Tue May 07 09:52:54 CST 2024","34273","test_case","test_media_center","TestMediaCenter","","","取消编辑素材",""
"passed","Tue May 07 09:41:34 CST 2024","Tue May 07 09:41:40 CST 2024","5939","test_case","test_system_management","TestSystemManagement","","","修改名称门店",""
"passed","Tue May 07 09:38:58 CST 2024","Tue May 07 09:39:08 CST 2024","10919","test_case","test_system_management","TestSystemManagement","","","添加分支",""
"broken","Tue May 07 09:59:32 CST 2024","Tue May 07 09:59:32 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","切换交并集",""
"broken","Tue May 07 09:59:25 CST 2024","Tue May 07 09:59:25 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","在选设备抽屉，切换到‘设备分组’tab上",""
"broken","Tue May 07 10:03:27 CST 2024","Tue May 07 10:03:27 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排中，选择日期",""
"broken","Tue May 07 09:38:31 CST 2024","Tue May 07 09:38:31 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","取消节目单引用",""
"passed","Tue May 07 09:40:40 CST 2024","Tue May 07 09:40:59 CST 2024","18943","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Tue May 07 09:55:20 CST 2024","Tue May 07 09:57:41 CST 2024","141075","test_case","test_terminal_center","TestTerminalCenter","","","批量操作：停止、播放",""
"passed","Tue May 07 09:46:28 CST 2024","Tue May 07 09:46:58 CST 2024","30220","test_case","test_media_center","TestMediaCenter","","","切换图片、视频、音频tab",""
"broken","Tue May 07 10:04:33 CST 2024","Tue May 07 10:06:12 CST 2024","99132","test_case","test_terminal_center","TestTerminalCenter","","","取消删除设备",""
"skipped","Tue May 07 09:41:29 CST 2024","Tue May 07 09:41:29 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中重新选择机构",""
"broken","Tue May 07 09:47:03 CST 2024","Tue May 07 09:47:34 CST 2024","31070","test_case","test_program_management","TestProgramManagement","","","新增一个竖屏的联屏节目",""
"broken","Tue May 07 09:58:55 CST 2024","Tue May 07 09:58:57 CST 2024","2165","test_case","test_terminal_center","TestTerminalCenter","","","查看设备信息",""
"passed","Tue May 07 10:03:31 CST 2024","Tue May 07 10:03:33 CST 2024","2025","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中，直接点击保存",""
"skipped","Tue May 07 09:40:04 CST 2024","Tue May 07 09:40:04 CST 2024","0","test_case","test_testin_login","TestLogin","","","点击个人中心头像logo",""
"broken","Tue May 07 10:07:52 CST 2024","Tue May 07 10:07:52 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","节目编排-选节目-筛选横屏节目",""
"passed","Tue May 07 09:40:05 CST 2024","Tue May 07 09:40:19 CST 2024","14261","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"broken","Tue May 07 09:58:57 CST 2024","Tue May 07 09:58:57 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","使用状态过滤，过滤审批不通过节目单",""
"passed","Tue May 07 09:41:59 CST 2024","Tue May 07 09:42:03 CST 2024","3777","test_case","test_system_management","TestSystemManagement","","","删除机构-取消删除",""
"broken","Tue May 07 09:58:51 CST 2024","Tue May 07 09:58:51 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","删除一个节目",""
"broken","Tue May 07 10:03:34 CST 2024","Tue May 07 10:03:34 CST 2024","0","test_case","test_release_management","TestReleaseManagemen_2","","","设置每周一到周日，每天都播放",""
