"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 09:14:10 CST 2024","Mon Jul 22 09:14:11 CST 2024","1366","test_case","test_release_management","TestReleaseStrategy","","","展开所有的机构",""
"passed","Mon Jul 22 09:14:24 CST 2024","Mon Jul 22 09:14:31 CST 2024","6820","test_case","test_system_management","TestSystemManagement","","","创建新账户,新账户的类型是企业管理员",""
"passed","Mon Jul 22 09:13:39 CST 2024","Mon Jul 22 09:13:55 CST 2024","15336","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择静音播放",""
"broken","Mon Jul 22 09:24:25 CST 2024","Mon Jul 22 09:24:25 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","删除设备成功",""
"passed","Mon Jul 22 09:14:08 CST 2024","Mon Jul 22 09:14:08 CST 2024","190","test_case","test_program_management","TestProgramManagement","","","关闭创建节目弹框",""
"passed","Mon Jul 22 09:17:49 CST 2024","Mon Jul 22 09:18:59 CST 2024","70041","test_case","test_terminal_center","TestTerminalCenter","","","发送插播字幕，次数：随机1-10次",""
"passed","Mon Jul 22 09:15:05 CST 2024","Mon Jul 22 09:15:07 CST 2024","2188","test_case","test_program_management","TestProgramManagement","","","创建联屏节目，测试屏幕组合-行数，箭头向上增加个数分功能",""
"broken","Mon Jul 22 09:24:45 CST 2024","Mon Jul 22 09:24:45 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","插播字幕，输入随机内容",""
"passed","Mon Jul 22 09:13:47 CST 2024","Mon Jul 22 09:15:16 CST 2024","88842","test_case","test_terminal_center","TestTerminalCenter","","","搜索设备id",""
"broken","Mon Jul 22 09:22:24 CST 2024","Mon Jul 22 09:22:24 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","查看设备中心-组织架构，切换到设备分组tab和组织架构tab",""
"broken","Mon Jul 22 09:24:04 CST 2024","Mon Jul 22 09:24:04 CST 2024","0","test_case","test_terminal_center","TestTerminalCenter","","","设备设置中，直接点击保存",""
"passed","Mon Jul 22 09:14:15 CST 2024","Mon Jul 22 09:14:27 CST 2024","12633","test_case","test_release_management","TestReleaseStrategy","","","选择所有的机构",""
"passed","Mon Jul 22 09:14:53 CST 2024","Mon Jul 22 09:14:59 CST 2024","6462","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Mon Jul 22 09:19:42 CST 2024","Mon Jul 22 09:19:44 CST 2024","2253","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-重置筛选条件",""
"broken","Mon Jul 22 09:15:23 CST 2024","Mon Jul 22 09:15:56 CST 2024","33546","test_case","test_media_center","TestMediaCenter","","","预览素材",""
"passed","Mon Jul 22 09:13:45 CST 2024","Mon Jul 22 09:13:47 CST 2024","2230","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"passed","Mon Jul 22 09:13:47 CST 2024","Mon Jul 22 09:13:49 CST 2024","2077","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
