"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目hkc","release management","","0","2","41","3","0"
"项目hkc","terminal_center","","0","0","21","2","0"
"项目hkc","program management","","0","3","17","1","0"
"项目hkc","play bill list","","1","1","14","0","0"
"项目hkc","system management","","0","0","9","0","0"
"项目hkc","media center","","0","3","15","0","0"
"项目hkc","login-test","","0","0","7","1","0"
"项目hkc","login","","0","0","0","7","0"
