"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目hkc","media center","","0","7","11","0","0"
"项目hkc","release management","","0","18","25","3","0"
"项目hkc","terminal_center","","0","5","16","2","0"
"项目hkc","login","","0","0","0","7","0"
"项目hkc","program management","","0","4","15","1","0"
"项目hkc","login-test","","0","0","7","1","0"
"项目hkc","play bill list","","0","6","10","0","0"
"项目hkc","system management","","0","2","7","0","0"
