"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 09 15:08:43 CST 2024","Thu May 09 15:09:10 CST 2024","26870","test_case","test_media_center","TestMediaCenter","","","选择屏幕贴类型，进行素材上传",""
"broken","Thu May 09 15:46:01 CST 2024","Thu May 09 15:46:49 CST 2024","47752","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-预览仅一个节目",""
"passed","Thu May 09 15:32:26 CST 2024","Thu May 09 15:32:29 CST 2024","3453","test_case","test_terminal_center","TestTerminalCenter","","","打开节目列表",""
"skipped","Thu May 09 15:49:32 CST 2024","Thu May 09 15:49:32 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"skipped","Thu May 09 15:39:59 CST 2024","Thu May 09 15:39:59 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","设置时间段1，固定时间播放",""
"passed","Thu May 09 15:31:40 CST 2024","Thu May 09 15:31:42 CST 2024","2376","test_case","test_terminal_center","TestTerminalCenter","","","查看播放列表",""
"passed","Thu May 09 15:29:29 CST 2024","Thu May 09 15:29:32 CST 2024","3842","test_case","test_release_management","TestReleaseStrategy","","","清空设备",""
"passed","Thu May 09 15:21:11 CST 2024","Thu May 09 15:22:31 CST 2024","79498","test_case","test_terminal_center","TestTerminalCenter","","","发送插播字幕，次数：随机1-10次",""
"passed","Thu May 09 15:08:20 CST 2024","Thu May 09 15:08:23 CST 2024","2307","test_case","test_program_management","TestProgramManagement","","","取消新增普通节目",""
"passed","Thu May 09 15:18:52 CST 2024","Thu May 09 15:19:12 CST 2024","19707","test_case","test_media_center","TestMediaCenter","","","查看图片详情",""
"skipped","Thu May 09 15:17:15 CST 2024","Thu May 09 15:17:15 CST 2024","0","test_case","test_release_management","TestReleaseStrategy","","","发布管理：选择一个设备",""
"passed","Thu May 09 15:25:19 CST 2024","Thu May 09 15:25:21 CST 2024","2743","test_case","test_program_management","TestProgramManagement","","","新建一个文件夹",""
"passed","Thu May 09 15:02:38 CST 2024","Thu May 09 15:02:43 CST 2024","5037","test_case","test_testin_login","TestLogin","","","登录成功","测试登录模块"
"skipped","Thu May 09 15:49:32 CST 2024","Thu May 09 15:49:32 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
"passed","Thu May 09 15:37:02 CST 2024","Thu May 09 15:37:10 CST 2024","8144","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
